,satisfaction,evaluation,number_of_projects,average_montly_hours,time_spend_company,work_accident,churn,promotion,department,salary
0,0.31868133,0.265625,0.0,0.28504673,0.125,0.0,1.0,0.0,sales,low
1,0.7802198,0.78125,0.6,0.7757009,0.5,0.0,1.0,0.0,sales,medium
2,0.021978023,0.8125,1.0,0.8224299,0.25,0.0,1.0,0.0,sales,medium
3,0.6923077,0.796875,0.6,0.59345794,0.375,0.0,1.0,0.0,sales,low
4,0.30769232,0.25,0.0,0.29439253,0.125,0.0,1.0,0.0,sales,low
5,0.35164836,0.21875,0.0,0.26635513,0.125,0.0,1.0,0.0,sales,low
6,0.010989011,0.640625,0.8,0.7056075,0.25,0.0,1.0,0.0,sales,low
7,0.9120879,0.765625,0.6,0.7616823,0.375,0.0,1.0,0.0,sales,low
8,0.8791209,1.0,0.6,0.5981308,0.375,0.0,1.0,0.0,sales,low
9,0.36263737,0.265625,0.0,0.21495327,0.125,0.0,1.0,0.0,sales,low
10,0.3956044,0.28125,0.0,0.18224299,0.125,0.0,1.0,0.0,sales,low
11,0.021978023,0.703125,0.8,0.9766355,0.25,0.0,1.0,0.0,sales,low
12,0.82417583,0.875,0.4,0.6448598,0.375,0.0,1.0,0.0,sales,low
13,0.35164836,0.296875,0.0,0.24299066,0.125,0.0,1.0,0.0,sales,low
14,0.2967033,0.3125,0.0,0.19158879,0.125,0.0,1.0,0.0,sales,low
15,0.31868133,0.28125,0.0,0.21962617,0.125,0.0,1.0,0.0,sales,low
16,0.3956044,0.171875,0.0,0.2990654,0.125,0.0,1.0,0.0,sales,low
17,0.7582418,0.984375,0.4,0.7429907,0.5,0.0,1.0,0.0,sales,low
18,0.3956044,0.234375,0.0,0.2990654,0.125,1.0,1.0,1.0,sales,low
19,0.73626375,0.828125,0.6,0.7757009,0.375,0.0,1.0,0.0,sales,low
20,0.021978023,0.734375,0.8,0.86915886,0.25,0.0,1.0,0.0,sales,low
21,0.31868133,0.296875,0.0,0.23831776,0.125,0.0,1.0,0.0,sales,low
22,0.0,0.921875,0.8,0.97196263,0.25,0.0,1.0,0.0,sales,low
23,0.4065934,0.328125,0.0,0.20093457,0.125,0.0,1.0,0.0,sales,low
24,0.34065935,0.265625,0.0,0.2897196,0.125,0.0,1.0,0.0,sales,low
25,0.8791209,0.875,0.6,0.682243,0.375,0.0,1.0,0.0,sales,low
26,0.8021978,0.796875,0.4,0.6682243,0.375,0.0,1.0,0.0,sales,low
27,0.34065935,0.203125,0.0,0.18224299,0.125,0.0,1.0,0.0,sales,low
28,0.35164836,0.15625,0.0,0.1495327,0.125,0.0,1.0,0.0,accounting,low
29,0.31868133,0.21875,0.0,0.1682243,0.125,0.0,1.0,0.0,accounting,low
30,0.0,0.40625,0.8,0.92523366,0.25,0.0,1.0,0.0,accounting,low
31,0.3956044,0.328125,0.0,0.17757009,0.125,0.0,1.0,0.0,hr,low
32,0.34065935,0.234375,0.0,0.22897196,0.125,0.0,1.0,0.0,hr,low
33,0.3956044,0.296875,0.0,0.20560747,0.125,0.0,1.0,0.0,hr,low
34,0.82417583,0.796875,0.4,0.7009346,0.5,0.0,1.0,0.0,hr,low
35,0.010989011,0.90625,0.8,0.7429907,0.25,0.0,1.0,0.0,technical,low
36,0.31868133,0.15625,0.0,0.19158879,0.125,0.0,1.0,0.0,technical,low
37,0.3956044,0.21875,0.0,0.14018692,0.125,0.0,1.0,0.0,technical,low
38,0.021978023,0.828125,0.8,0.9813084,0.25,0.0,1.0,0.0,technical,low
